sigle;nom_complet;adresse;citation;struct_id_hal;acronym_hal;type_hal
LEMTA;Laboratoire Énergies et Mécanique Théorique et Appliquée;;Université de Lorraine, CNRS, LEMTA, F-54000 Nancy, France;;;
U Liège;U Liège;;Université de Liège;;;
Tecumseh;Tecumseh;;Tecumseh Europe Sales & Logistics, Engineering Department;;;
PIMENT;PIMENT;;Laboratoire PIMENT de l’Université de La Réunion;;;
IMAGEEN;IMAGEEN;;IMAGEEN;;;
Q3E Conseils;Q3E Conseils;;Q3E Conseils;;;
INSET;INSET;;INSET;;;
IC66;IC66;;IC66;;;
ItheMM;Institut de Thermique, Mécanique, Matériaux;;ITheMM/Université de Reims Champagne-Ardenne, UR 7548;;;
Xlim;Xlim;; Université de Limoges, Xlim, UMR 7252;;;
CEA-Le Ripault;CEA-Le Ripault;; CEA Le Ripault, Centre d’études du Ripault;;;
IRCER;IRCER;; Université de Limoges, Institut de Recherche sur les CERamiques;;;
SGRParis;Saint Gobain Recherche Paris;;Saint-Gobain Research Paris;;;
Institut Langevin;Institut Langevin;; Institut Langevin, ESPCI Paris, Université PSL, CNRS;;;
PPRIME;Institut P’;;Institut Pprime, CNRS, Université de Poitiers, ISAE-ENSMA;;;
I2M;I2M;; I2M - Institut de Mécanique et d’Ingénierie de Bordeaux;;;
LEME;LEME;; Laboratoire Energétique Mécanique Electromagnétisme (LEME), Université de Paris Nanterre;;;
LETTM;LETTM;;Laboratoire d’Energétique et des Transferts Thermiques et Massiques, Université de Tunis El Manar;;;
INSA Centre Val Loire;INSA Centre Val de Loire;;INSA Centre Val de Loire;;;
Sorbonne Doct.;Sorbonne Coll. Doctoral;;Sorbonne Université, Collège Doctoral, Paris, France;;;
ENS Lyon;ENS Lyon;;Lab. Physique, Ecole Normale Supérieure de Lyon, CNRS, Lyon, France;;;
LISN;Lab. Interdisciplinaire des Sciences du Numérique;;CNRS, Lab. Interdisciplinaire des Sciences du Numérique, Université Paris-Saclay, CNRS, Orsay, France;;;
Sorbonne Sci. Ing.;Sorbonne Fac des Sciences et Ing;;Sorbonne Université, Fac. des Sciences et Ing. , Paris, France;;;
INRAE;INRAE;;INRAE;;;
IFPEN;IFPEN;;IFPEN;;;
RAPSODEE;RAPSODEE;;RAPSODEE, UMR CNRS 5302, IMT Mines Albi, Campus Jarlard, 81013 Albi, France;;;
LES-GPTE;LES-GPTE;; LES-GPTE,Université de Lomé, 01BP1515 Lomé, Togo;;;
Caminetti M.;Caminetti Montegrappa;;Caminetti Montegrappa;;;
 Invicta; Invicta;; Invicta;;;
CERTES;CERTES;;Centre d’Études et de Recherche en Thermique, Environnement et Systèmes;;;
